Total train data points: 608, Won: 42.26973684210526%, Lost: 34.046052631578945%, Draw: 23.68421052631579%
Total val data points: 76, Won: 36.8421052631579%, Lost: 39.473684210526315%, Draw: 23.68421052631579%
Total test data points: 76, Won: 40.78947368421053%, Lost: 42.10526315789474%, Draw: 17.105263157894736%
GNN model, data {} 0
Continuous evaluation
T:0, train_loss:1.11177, train_acc:0.31852, val_loss=1.09857, val_acc=0.35340
T:1, train_loss:1.10020, train_acc:0.43016, val_loss=1.09626, val_acc=0.34259
T:2, train_loss:1.14936, train_acc:0.35435, val_loss=1.08690, val_acc=0.40432
T:3, train_loss:1.15031, train_acc:0.35965, val_loss=1.07120, val_acc=0.42747
T:4, train_loss:1.05388, train_acc:0.39415, val_loss=1.09569, val_acc=0.37191
T:5, train_loss:1.08082, train_acc:0.40598, val_loss=1.12802, val_acc=0.42723
T:6, train_loss:1.05015, train_acc:0.40049, val_loss=1.20079, val_acc=0.41429
T:7, train_loss:1.01293, train_acc:0.42812, val_loss=1.27965, val_acc=0.41707
T:8, train_loss:1.01225, train_acc:0.43611, val_loss=1.46699, val_acc=0.41830
T:9, train_loss:1.03116, train_acc:0.43667, val_loss=1.60185, val_acc=0.43615
T:10, train_loss:1.03353, train_acc:0.42745, val_loss=1.91960, val_acc=0.41582
T:11, train_loss:1.06796, train_acc:0.43970, val_loss=2.85918, val_acc=0.43419
T:12, train_loss:1.03795, train_acc:0.43694, val_loss=1.98120, val_acc=0.43576
T:13, train_loss:1.04994, train_acc:0.43612, val_loss=2.71695, val_acc=0.43915
T:14, train_loss:1.01417, train_acc:0.46811, val_loss=3.29636, val_acc=0.45161
T:15, train_loss:1.01698, train_acc:0.50926, val_loss=4.76697, val_acc=0.48087
T:16, train_loss:0.99963, train_acc:0.52023, val_loss=3.49258, val_acc=0.49630
T:17, train_loss:0.99362, train_acc:0.54012, val_loss=4.35727, val_acc=0.49906
T:18, train_loss:1.00830, train_acc:0.51782, val_loss=4.06043, val_acc=0.48467
T:19, train_loss:1.01440, train_acc:0.52143, val_loss=6.10997, val_acc=0.48343
T:20, train_loss:1.00555, train_acc:0.52217, val_loss=6.58103, val_acc=0.50000
T:21, train_loss:1.00109, train_acc:0.52032, val_loss=6.67096, val_acc=0.49899
T:22, train_loss:0.99819, train_acc:0.51567, val_loss=5.95624, val_acc=0.49588
T:23, train_loss:1.00371, train_acc:0.51012, val_loss=5.38128, val_acc=0.49686
T:24, train_loss:0.99879, train_acc:0.50160, val_loss=4.87407, val_acc=0.49786
T:25, train_loss:0.99863, train_acc:0.50765, val_loss=6.56517, val_acc=0.50980
T:26, train_loss:0.99514, train_acc:0.50818, val_loss=6.37221, val_acc=0.51111
T:27, train_loss:0.99949, train_acc:0.50535, val_loss=7.22894, val_acc=0.50340
T:28, train_loss:0.99354, train_acc:0.50993, val_loss=7.83684, val_acc=0.48843
T:29, train_loss:0.99400, train_acc:0.50887, val_loss=6.96971, val_acc=0.48936
T:30, train_loss:0.99871, train_acc:0.50438, val_loss=5.31412, val_acc=0.48792
T:31, train_loss:0.99501, train_acc:0.51090, val_loss=6.95209, val_acc=0.48395
T:32, train_loss:0.99465, train_acc:0.50865, val_loss=6.95644, val_acc=0.48990
