Total train data points: 2448, Won: 45.91503267973856%, Lost: 29.820261437908496%, Draw: 24.264705882352942%
Total val data points: 306, Won: 45.09803921568628%, Lost: 31.045751633986928%, Draw: 23.856209150326798%
Total test data points: 306, Won: 40.19607843137255%, Lost: 37.58169934640523%, Draw: 22.22222222222222%
GNN model, data {} 0
Continuous evaluation
2754
646
T:0, train_loss:2.24648, train_acc:0.16667, val_loss=1.22695, val_acc=0.23765
630
T:1, train_loss:1.57759, train_acc:0.26508, val_loss=1.26268, val_acc=0.24537
338
T:2, train_loss:1.63545, train_acc:0.32132, val_loss=1.11601, val_acc=0.34259
114
T:3, train_loss:1.46702, train_acc:0.31944, val_loss=1.10360, val_acc=0.39969
48
T:4, train_loss:1.34738, train_acc:0.30058, val_loss=1.08803, val_acc=0.44136
123
T:5, train_loss:1.17970, train_acc:0.35565, val_loss=1.09633, val_acc=0.38426
2
T:6, train_loss:1.12778, train_acc:0.40456, val_loss=1.06955, val_acc=0.45679
T:7, train_loss:1.06195, train_acc:0.42604, val_loss=1.07940, val_acc=0.45525
T:8, train_loss:1.06031, train_acc:0.43302, val_loss=1.13599, val_acc=0.45679
T:9, train_loss:1.08353, train_acc:0.43917, val_loss=1.16423, val_acc=0.45525
T:10, train_loss:1.05390, train_acc:0.46810, val_loss=1.09547, val_acc=0.45525
T:11, train_loss:1.07429, train_acc:0.45912, val_loss=1.18487, val_acc=0.45833
T:12, train_loss:1.09490, train_acc:0.45987, val_loss=1.30081, val_acc=0.45525
T:13, train_loss:1.06713, train_acc:0.47871, val_loss=1.06115, val_acc=0.50309
T:14, train_loss:1.05712, train_acc:0.49413, val_loss=1.09657, val_acc=0.49537
T:15, train_loss:1.04467, train_acc:0.49587, val_loss=1.06011, val_acc=0.43827
T:16, train_loss:1.06200, train_acc:0.50140, val_loss=1.05995, val_acc=0.43827
T:17, train_loss:1.05800, train_acc:0.47369, val_loss=1.05766, val_acc=0.47068
T:18, train_loss:1.07972, train_acc:0.46143, val_loss=1.12561, val_acc=0.43981
T:19, train_loss:1.06308, train_acc:0.46653, val_loss=1.08078, val_acc=0.48302
T:20, train_loss:1.04590, train_acc:0.48476, val_loss=1.12263, val_acc=0.46605
T:21, train_loss:1.06183, train_acc:0.47222, val_loss=1.24369, val_acc=0.49228
