Total train data points: 2448, Won: 45.91503267973856%, Lost: 29.820261437908496%, Draw: 24.264705882352942%
Total val data points: 306, Won: 45.09803921568628%, Lost: 31.045751633986928%, Draw: 23.856209150326798%
Total test data points: 306, Won: 40.19607843137255%, Lost: 37.58169934640523%, Draw: 22.22222222222222%
GNN model, data {} 0
Continuous evaluation
2754
585
T:0, train_loss:2.91875, train_acc:0.26296, val_loss=1.47302, val_acc=0.24228
270
T:1, train_loss:1.65219, train_acc:0.41905, val_loss=1.46031, val_acc=0.28549
80
T:2, train_loss:1.18134, train_acc:0.34334, val_loss=1.39088, val_acc=0.27315
95
T:3, train_loss:1.26620, train_acc:0.37281, val_loss=1.41580, val_acc=0.29012
190
T:4, train_loss:1.13647, train_acc:0.40877, val_loss=1.98420, val_acc=0.29475
10
T:5, train_loss:1.09434, train_acc:0.45204, val_loss=1.59020, val_acc=0.42130
1
T:6, train_loss:1.05516, train_acc:0.45788, val_loss=1.37304, val_acc=0.36420
1
T:7, train_loss:1.02148, train_acc:0.49028, val_loss=1.42580, val_acc=0.44290
T:8, train_loss:1.02632, train_acc:0.51451, val_loss=2.66920, val_acc=0.45988
T:9, train_loss:1.03123, train_acc:0.49389, val_loss=1.18602, val_acc=0.37963
T:10, train_loss:1.05658, train_acc:0.50136, val_loss=2.03980, val_acc=0.35802
T:11, train_loss:1.02206, train_acc:0.50384, val_loss=2.68392, val_acc=0.39969
T:12, train_loss:1.16366, train_acc:0.46196, val_loss=3.33764, val_acc=0.43519
T:13, train_loss:1.06809, train_acc:0.50058, val_loss=2.75862, val_acc=0.40432
T:14, train_loss:1.10734, train_acc:0.47859, val_loss=1.47897, val_acc=0.45679
T:15, train_loss:1.05035, train_acc:0.50794, val_loss=10.06752, val_acc=0.46914
T:16, train_loss:1.04962, train_acc:0.51603, val_loss=8.08908, val_acc=0.43981
T:17, train_loss:1.05502, train_acc:0.50735, val_loss=32.14146, val_acc=0.47377
T:18, train_loss:1.05649, train_acc:0.49332, val_loss=16.26905, val_acc=0.47377
T:19, train_loss:1.05022, train_acc:0.46534, val_loss=22.69591, val_acc=0.44753
T:20, train_loss:1.05006, train_acc:0.46397, val_loss=3.48800, val_acc=0.43364
T:21, train_loss:1.07724, train_acc:0.45719, val_loss=14.74259, val_acc=0.46759
T:22, train_loss:1.06316, train_acc:0.44321, val_loss=6.76332, val_acc=0.41049
T:23, train_loss:1.06016, train_acc:0.44132, val_loss=6.27402, val_acc=0.42747
T:24, train_loss:1.04732, train_acc:0.46718, val_loss=6.69072, val_acc=0.46914
T:25, train_loss:1.04949, train_acc:0.46502, val_loss=9.45614, val_acc=0.47377
T:26, train_loss:1.04172, train_acc:0.47851, val_loss=14.99628, val_acc=0.47377
T:27, train_loss:1.05292, train_acc:0.43909, val_loss=6.91054, val_acc=0.47531
T:28, train_loss:1.04148, train_acc:0.47697, val_loss=6.49758, val_acc=0.42284
T:29, train_loss:1.06018, train_acc:0.46314, val_loss=6.92179, val_acc=0.40741
T:30, train_loss:1.06515, train_acc:0.45045, val_loss=5.49120, val_acc=0.42284
T:31, train_loss:1.06986, train_acc:0.43322, val_loss=7.83071, val_acc=0.42593
T:32, train_loss:1.06683, train_acc:0.42777, val_loss=3.56153, val_acc=0.47531
T:33, train_loss:1.06454, train_acc:0.42469, val_loss=5.60381, val_acc=0.47994
T:34, train_loss:1.08041, train_acc:0.43983, val_loss=2.78166, val_acc=0.47994
T:35, train_loss:1.08057, train_acc:0.44003, val_loss=1.57458, val_acc=0.47840
T:36, train_loss:1.08732, train_acc:0.44090, val_loss=1.56887, val_acc=0.47994
T:37, train_loss:1.06610, train_acc:0.43733, val_loss=1.23397, val_acc=0.47840
T:38, train_loss:1.07271, train_acc:0.43765, val_loss=1.27513, val_acc=0.47685
T:39, train_loss:1.05730, train_acc:0.43598, val_loss=1.33600, val_acc=0.47222
T:40, train_loss:1.05763, train_acc:0.43428, val_loss=1.27631, val_acc=0.47685
T:41, train_loss:1.05749, train_acc:0.43077, val_loss=1.21987, val_acc=0.47222
T:42, train_loss:1.06122, train_acc:0.44112, val_loss=1.36533, val_acc=0.47531
T:43, train_loss:1.07339, train_acc:0.42270, val_loss=1.79978, val_acc=0.47377
T:44, train_loss:1.05973, train_acc:0.44130, val_loss=1.07099, val_acc=0.44290
T:45, train_loss:1.06276, train_acc:0.44555, val_loss=1.08855, val_acc=0.43981
T:46, train_loss:1.05844, train_acc:0.43958, val_loss=1.09055, val_acc=0.44290
T:47, train_loss:1.05320, train_acc:0.44358, val_loss=1.09813, val_acc=0.43981
T:48, train_loss:1.05499, train_acc:0.44087, val_loss=1.08140, val_acc=0.43519
T:49, train_loss:1.06968, train_acc:0.43758, val_loss=1.08861, val_acc=0.44136
T:50, train_loss:1.05388, train_acc:0.46727, val_loss=1.13498, val_acc=0.44136
T:51, train_loss:1.05978, train_acc:0.45799, val_loss=1.16359, val_acc=0.44136
T:52, train_loss:1.06143, train_acc:0.43511, val_loss=1.07972, val_acc=0.43827
T:53, train_loss:1.08283, train_acc:0.45137, val_loss=1.09067, val_acc=0.43981
T:54, train_loss:1.07429, train_acc:0.44222, val_loss=1.06929, val_acc=0.44136
T:55, train_loss:1.06763, train_acc:0.42915, val_loss=1.06705, val_acc=0.43673
T:56, train_loss:1.06464, train_acc:0.42535, val_loss=1.21995, val_acc=0.46142
T:57, train_loss:1.06869, train_acc:0.42891, val_loss=1.14330, val_acc=0.46605
T:58, train_loss:1.05164, train_acc:0.45872, val_loss=1.07717, val_acc=0.45833
T:59, train_loss:1.06308, train_acc:0.45818, val_loss=1.13486, val_acc=0.45370
