Total train data points: 2448, Won: 45.91503267973856%, Lost: 29.820261437908496%, Draw: 24.264705882352942%
Total val data points: 306, Won: 45.09803921568628%, Lost: 31.045751633986928%, Draw: 23.856209150326798%
Total test data points: 306, Won: 40.19607843137255%, Lost: 37.58169934640523%, Draw: 22.22222222222222%
GNN model, data {} 0
Continuous evaluation
2754
T:0, train_loss:1.06425, train_acc:0.52222, val_loss=1.08131, val_acc=0.45525
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.10651, train_acc:0.35079, val_loss=1.08367, val_acc=0.45216
T:2, train_loss:1.03201, train_acc:0.43143, val_loss=1.06940, val_acc=0.45525
T:3, train_loss:1.00487, train_acc:0.40205, val_loss=1.11029, val_acc=0.45679
87
T:4, train_loss:1.00182, train_acc:0.49649, val_loss=1.25778, val_acc=0.40278
19
T:5, train_loss:0.96375, train_acc:0.50855, val_loss=1.26540, val_acc=0.34259
T:6, train_loss:0.95117, train_acc:0.51363, val_loss=1.45343, val_acc=0.45525
T:7, train_loss:0.97407, train_acc:0.51910, val_loss=1.59801, val_acc=0.47068
T:8, train_loss:0.99980, train_acc:0.48704, val_loss=1.66662, val_acc=0.47377
T:9, train_loss:1.00924, train_acc:0.50111, val_loss=2.02142, val_acc=0.46914
T:10, train_loss:1.02667, train_acc:0.50160, val_loss=1.85707, val_acc=0.47994
T:11, train_loss:1.04712, train_acc:0.47674, val_loss=3.17228, val_acc=0.48611
T:12, train_loss:1.06538, train_acc:0.46967, val_loss=2.68741, val_acc=0.46605
T:13, train_loss:1.03600, train_acc:0.48955, val_loss=3.53789, val_acc=0.43364
T:14, train_loss:1.02959, train_acc:0.49413, val_loss=3.80488, val_acc=0.44136
T:15, train_loss:1.02278, train_acc:0.51521, val_loss=5.54164, val_acc=0.44599
T:16, train_loss:1.01790, train_acc:0.52692, val_loss=5.72237, val_acc=0.47840
T:17, train_loss:1.02864, train_acc:0.50955, val_loss=3.35434, val_acc=0.47068
T:18, train_loss:1.03350, train_acc:0.50459, val_loss=6.37608, val_acc=0.46914
T:19, train_loss:1.01865, train_acc:0.50780, val_loss=4.86069, val_acc=0.45833
T:20, train_loss:1.02498, train_acc:0.50630, val_loss=5.41901, val_acc=0.41821
T:21, train_loss:1.03175, train_acc:0.50000, val_loss=7.22499, val_acc=0.42438
T:22, train_loss:1.03340, train_acc:0.51803, val_loss=11.30626, val_acc=0.43210
T:23, train_loss:1.02528, train_acc:0.51077, val_loss=7.56746, val_acc=0.44599
T:24, train_loss:1.02826, train_acc:0.50305, val_loss=5.46333, val_acc=0.42747
T:25, train_loss:1.02682, train_acc:0.50268, val_loss=3.97024, val_acc=0.43056
T:26, train_loss:1.01546, train_acc:0.51297, val_loss=5.37984, val_acc=0.44444
T:27, train_loss:1.02682, train_acc:0.50563, val_loss=7.61390, val_acc=0.43519
T:28, train_loss:1.03122, train_acc:0.49889, val_loss=2.44539, val_acc=0.41667
T:29, train_loss:1.03602, train_acc:0.49044, val_loss=1.39685, val_acc=0.42593
T:30, train_loss:1.03443, train_acc:0.48812, val_loss=1.50154, val_acc=0.47222
T:31, train_loss:1.03261, train_acc:0.49176, val_loss=2.31873, val_acc=0.42284
T:32, train_loss:1.04401, train_acc:0.47506, val_loss=1.68970, val_acc=0.48611
