Total train data points: 2291, Won: 61.021388040157134%, Lost: 38.978611959842866%, Draw: 0.0%
Total val data points: 286, Won: 58.74125874125874%, Lost: 41.25874125874126%, Draw: 0.0%
Total test data points: 287, Won: 59.58188153310105%, Lost: 40.41811846689895%, Draw: 0.0%
GNN model, data {} 0
Continuous evaluation
2577
T:0, train_loss:1.05947, train_acc:0.31852, val_loss=1.05118, val_acc=0.36574
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.05026, train_acc:0.40317, val_loss=1.04886, val_acc=0.36883
T:2, train_loss:1.01612, train_acc:0.49049, val_loss=1.03820, val_acc=0.37037
T:3, train_loss:0.99623, train_acc:0.55775, val_loss=1.02088, val_acc=0.55247
T:4, train_loss:0.89125, train_acc:0.61754, val_loss=0.98186, val_acc=0.62191
T:5, train_loss:0.77019, train_acc:0.66429, val_loss=0.93894, val_acc=0.61883
T:6, train_loss:0.73237, train_acc:0.67643, val_loss=0.93379, val_acc=0.62346
T:7, train_loss:0.79150, train_acc:0.67431, val_loss=0.88664, val_acc=0.67593
T:8, train_loss:0.78942, train_acc:0.66975, val_loss=0.98230, val_acc=0.64506
T:9, train_loss:0.80880, train_acc:0.65389, val_loss=0.90074, val_acc=0.63735
T:10, train_loss:0.77635, train_acc:0.66667, val_loss=0.86890, val_acc=0.63735
T:11, train_loss:0.76303, train_acc:0.67412, val_loss=1.06068, val_acc=0.64198
T:12, train_loss:0.76850, train_acc:0.65249, val_loss=0.93437, val_acc=0.65741
T:13, train_loss:0.77263, train_acc:0.65912, val_loss=0.88548, val_acc=0.61883
T:14, train_loss:0.77228, train_acc:0.65619, val_loss=1.07501, val_acc=0.64506
T:15, train_loss:0.76688, train_acc:0.65327, val_loss=1.02402, val_acc=0.62037
T:16, train_loss:0.76517, train_acc:0.65935, val_loss=0.97764, val_acc=0.62654
T:17, train_loss:0.75422, train_acc:0.65476, val_loss=0.97512, val_acc=0.62346
T:18, train_loss:0.75628, train_acc:0.65441, val_loss=1.21610, val_acc=0.64043
T:19, train_loss:0.76467, train_acc:0.64378, val_loss=1.01032, val_acc=0.65432
T:20, train_loss:0.75744, train_acc:0.64764, val_loss=1.27821, val_acc=0.66512
T:21, train_loss:0.76145, train_acc:0.64767, val_loss=1.50580, val_acc=0.63735
T:22, train_loss:0.74769, train_acc:0.65476, val_loss=1.39823, val_acc=0.66667
T:23, train_loss:0.72852, train_acc:0.67087, val_loss=1.24416, val_acc=0.65895
T:24, train_loss:0.73562, train_acc:0.66770, val_loss=1.74545, val_acc=0.65895
T:25, train_loss:0.72957, train_acc:0.67114, val_loss=1.51924, val_acc=0.67438
T:26, train_loss:0.71183, train_acc:0.67949, val_loss=2.14660, val_acc=0.67593
T:27, train_loss:0.71567, train_acc:0.67793, val_loss=2.15688, val_acc=0.64198
T:28, train_loss:0.72637, train_acc:0.66987, val_loss=2.79935, val_acc=0.64815
T:29, train_loss:0.72164, train_acc:0.66916, val_loss=2.39385, val_acc=0.66204
T:30, train_loss:0.75803, train_acc:0.66742, val_loss=2.87981, val_acc=0.64352
T:31, train_loss:0.74012, train_acc:0.66844, val_loss=1.50337, val_acc=0.63426
T:32, train_loss:0.73580, train_acc:0.66095, val_loss=1.48456, val_acc=0.65278
