Total train data points: 1860, Won: 60.645161290322584%, Lost: 39.354838709677416%, Draw: 0.0%
Total val data points: 232, Won: 59.48275862068966%, Lost: 40.51724137931034%, Draw: 0.0%
Total test data points: 233, Won: 51.072961373390555%, Lost: 48.927038626609445%, Draw: 0.0%
GNN model, data {} 0
Continuous evaluation
2092
T:0, train_loss:1.11640, train_acc:0.33333, val_loss=1.08644, val_acc=0.40895
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.03959, train_acc:0.55556, val_loss=1.08620, val_acc=0.41049
T:2, train_loss:1.05956, train_acc:0.48248, val_loss=1.08802, val_acc=0.40278
T:3, train_loss:1.03692, train_acc:0.52047, val_loss=1.08587, val_acc=0.40586
T:4, train_loss:0.95308, train_acc:0.63743, val_loss=1.07665, val_acc=0.40432
T:5, train_loss:0.90794, train_acc:0.66477, val_loss=0.94934, val_acc=0.58025
T:6, train_loss:0.83961, train_acc:0.71144, val_loss=0.94674, val_acc=0.57562
T:7, train_loss:0.88014, train_acc:0.66771, val_loss=0.95730, val_acc=0.59259
T:8, train_loss:0.88650, train_acc:0.60957, val_loss=0.90018, val_acc=0.60802
T:9, train_loss:0.85055, train_acc:0.64639, val_loss=0.96669, val_acc=0.57870
T:10, train_loss:0.84799, train_acc:0.62749, val_loss=0.87076, val_acc=0.60494
T:11, train_loss:0.84218, train_acc:0.61314, val_loss=0.83899, val_acc=0.58951
T:12, train_loss:0.83791, train_acc:0.61267, val_loss=0.88161, val_acc=0.58488
T:13, train_loss:0.85925, train_acc:0.59369, val_loss=0.85382, val_acc=0.56173
T:14, train_loss:0.83558, train_acc:0.59747, val_loss=0.81318, val_acc=0.60185
T:15, train_loss:0.83669, train_acc:0.57540, val_loss=0.82242, val_acc=0.59105
T:16, train_loss:0.83710, train_acc:0.57905, val_loss=0.76567, val_acc=0.59568
T:17, train_loss:0.81956, train_acc:0.59142, val_loss=0.81657, val_acc=0.59105
T:18, train_loss:0.80232, train_acc:0.60192, val_loss=0.86384, val_acc=0.59259
T:19, train_loss:0.79791, train_acc:0.59921, val_loss=1.02823, val_acc=0.59877
T:20, train_loss:0.79118, train_acc:0.60481, val_loss=1.84454, val_acc=0.59722
T:21, train_loss:0.78832, train_acc:0.60967, val_loss=3.32378, val_acc=0.62037
T:22, train_loss:0.77660, train_acc:0.61982, val_loss=3.92260, val_acc=0.61265
T:23, train_loss:0.78384, train_acc:0.60874, val_loss=5.36667, val_acc=0.60957
T:24, train_loss:0.79613, train_acc:0.59607, val_loss=6.15920, val_acc=0.60802
T:25, train_loss:0.80009, train_acc:0.60008, val_loss=6.49581, val_acc=0.61574
T:26, train_loss:0.81948, train_acc:0.60006, val_loss=3.16880, val_acc=0.62037
T:27, train_loss:0.82480, train_acc:0.60078, val_loss=3.04632, val_acc=0.61883
T:28, train_loss:0.83122, train_acc:0.60002, val_loss=0.86639, val_acc=0.61728
T:29, train_loss:0.79248, train_acc:0.60103, val_loss=0.72943, val_acc=0.62346
T:30, train_loss:0.81718, train_acc:0.59673, val_loss=0.72225, val_acc=0.59414
T:31, train_loss:0.81616, train_acc:0.59060, val_loss=0.75160, val_acc=0.56790
T:32, train_loss:0.80792, train_acc:0.59236, val_loss=0.74017, val_acc=0.58488
