Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.03537, train_acc:0.42222, val_loss=1.10096, val_acc=0.22377
T:1, train_loss:1.08323, train_acc:0.31587, val_loss=1.09730, val_acc=0.31019
T:2, train_loss:1.02373, train_acc:0.39540, val_loss=1.09759, val_acc=0.34568
T:3, train_loss:1.06925, train_acc:0.37939, val_loss=1.22988, val_acc=0.36111
T:4, train_loss:1.04440, train_acc:0.39240, val_loss=1.30320, val_acc=0.32407
T:5, train_loss:1.15566, train_acc:0.38082, val_loss=2.09177, val_acc=0.38426
T:6, train_loss:1.14076, train_acc:0.36671, val_loss=1.16413, val_acc=0.30710
T:7, train_loss:1.10736, train_acc:0.35764, val_loss=1.10595, val_acc=0.25772
T:8, train_loss:1.10805, train_acc:0.36358, val_loss=1.12346, val_acc=0.26698
T:9, train_loss:1.10661, train_acc:0.34389, val_loss=1.12122, val_acc=0.28395
T:10, train_loss:1.09841, train_acc:0.31732, val_loss=1.09926, val_acc=0.25926
T:11, train_loss:1.07623, train_acc:0.36043, val_loss=1.09619, val_acc=0.25926
T:12, train_loss:1.06453, train_acc:0.39358, val_loss=1.09082, val_acc=0.45833
T:13, train_loss:1.05442, train_acc:0.40360, val_loss=1.07713, val_acc=0.46296
T:14, train_loss:1.06525, train_acc:0.41229, val_loss=1.06161, val_acc=0.47068
T:15, train_loss:1.08348, train_acc:0.40873, val_loss=1.10105, val_acc=0.46296
T:16, train_loss:1.05889, train_acc:0.42141, val_loss=1.21761, val_acc=0.44444
T:17, train_loss:1.03006, train_acc:0.42989, val_loss=1.17099, val_acc=0.42130
T:18, train_loss:1.03134, train_acc:0.42063, val_loss=1.15572, val_acc=0.42593
T:19, train_loss:1.03924, train_acc:0.42725, val_loss=1.21635, val_acc=0.39969
T:20, train_loss:1.09077, train_acc:0.41119, val_loss=1.19955, val_acc=0.44136
T:21, train_loss:1.05505, train_acc:0.41438, val_loss=1.25584, val_acc=0.46605
T:22, train_loss:1.05254, train_acc:0.41759, val_loss=1.40981, val_acc=0.43210
T:23, train_loss:1.03802, train_acc:0.42797, val_loss=1.39203, val_acc=0.44444
T:24, train_loss:1.05253, train_acc:0.41933, val_loss=1.10556, val_acc=0.44136
T:25, train_loss:1.06168, train_acc:0.42218, val_loss=1.43912, val_acc=0.46296
T:26, train_loss:1.04080, train_acc:0.42923, val_loss=1.18821, val_acc=0.44290
T:27, train_loss:1.06273, train_acc:0.42359, val_loss=1.21506, val_acc=0.45988
T:28, train_loss:1.13941, train_acc:0.43063, val_loss=1.54625, val_acc=0.37500
T:29, train_loss:1.06553, train_acc:0.42110, val_loss=1.14963, val_acc=0.43519
T:30, train_loss:1.05847, train_acc:0.41419, val_loss=1.07932, val_acc=0.45525
T:31, train_loss:1.05587, train_acc:0.42256, val_loss=1.12913, val_acc=0.46142
T:32, train_loss:1.04060, train_acc:0.43058, val_loss=1.28157, val_acc=0.45679
T:33, train_loss:1.04532, train_acc:0.43122, val_loss=1.31081, val_acc=0.45216
