Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.47741, train_acc:0.35556, val_loss=1.13031, val_acc=0.45216
T:1, train_loss:1.40624, train_acc:0.41111, val_loss=1.16331, val_acc=0.43056
T:2, train_loss:1.34701, train_acc:0.39740, val_loss=1.14203, val_acc=0.39969
T:3, train_loss:1.23893, train_acc:0.41447, val_loss=1.09375, val_acc=0.42130
T:4, train_loss:1.05618, train_acc:0.46608, val_loss=1.10152, val_acc=0.35648
T:5, train_loss:1.06987, train_acc:0.43400, val_loss=1.11185, val_acc=0.37654
T:6, train_loss:1.09551, train_acc:0.38055, val_loss=1.11618, val_acc=0.33951
T:7, train_loss:1.07271, train_acc:0.40694, val_loss=1.14170, val_acc=0.31944
T:8, train_loss:1.06287, train_acc:0.41173, val_loss=1.23037, val_acc=0.38117
T:9, train_loss:1.06461, train_acc:0.41722, val_loss=1.26936, val_acc=0.40741
T:10, train_loss:1.04362, train_acc:0.43459, val_loss=1.32576, val_acc=0.33796
T:11, train_loss:1.04759, train_acc:0.43180, val_loss=1.32944, val_acc=0.36111
T:12, train_loss:1.05246, train_acc:0.41380, val_loss=1.29716, val_acc=0.43673
T:13, train_loss:1.06124, train_acc:0.40979, val_loss=1.23677, val_acc=0.45679
T:14, train_loss:1.05927, train_acc:0.41987, val_loss=1.83132, val_acc=0.45988
T:15, train_loss:1.06172, train_acc:0.41005, val_loss=1.58462, val_acc=0.43210
T:16, train_loss:1.06073, train_acc:0.43433, val_loss=1.67391, val_acc=0.46142
T:17, train_loss:1.05696, train_acc:0.43313, val_loss=1.98550, val_acc=0.45525
T:18, train_loss:1.06656, train_acc:0.43470, val_loss=1.15253, val_acc=0.39352
T:19, train_loss:1.06044, train_acc:0.42434, val_loss=1.33052, val_acc=0.45988
T:20, train_loss:1.07011, train_acc:0.42441, val_loss=1.07590, val_acc=0.45679
T:21, train_loss:1.04721, train_acc:0.43663, val_loss=1.04844, val_acc=0.47068
T:22, train_loss:1.05250, train_acc:0.43759, val_loss=1.04530, val_acc=0.44136
T:23, train_loss:1.06596, train_acc:0.44154, val_loss=1.17486, val_acc=0.43827
T:24, train_loss:1.06596, train_acc:0.43059, val_loss=1.11122, val_acc=0.43827
T:25, train_loss:1.07414, train_acc:0.42506, val_loss=1.05340, val_acc=0.44290
T:26, train_loss:1.04949, train_acc:0.43507, val_loss=1.09575, val_acc=0.35185
T:27, train_loss:1.10751, train_acc:0.42193, val_loss=1.06174, val_acc=0.44444
T:28, train_loss:1.09096, train_acc:0.41094, val_loss=1.08628, val_acc=0.44136
T:29, train_loss:1.05610, train_acc:0.42653, val_loss=1.08442, val_acc=0.44290
T:30, train_loss:1.06734, train_acc:0.43186, val_loss=1.05198, val_acc=0.45062
T:31, train_loss:1.05871, train_acc:0.42716, val_loss=1.04796, val_acc=0.43981
T:32, train_loss:1.04646, train_acc:0.44617, val_loss=1.07254, val_acc=0.42901
T:33, train_loss:1.09246, train_acc:0.38421, val_loss=1.09229, val_acc=0.37809
T:34, train_loss:1.09159, train_acc:0.38153, val_loss=1.05983, val_acc=0.45525
T:35, train_loss:1.08262, train_acc:0.42845, val_loss=1.09924, val_acc=0.44907
T:36, train_loss:1.06216, train_acc:0.42950, val_loss=1.06752, val_acc=0.44599
