Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.09374, train_acc:0.43333, val_loss=1.09289, val_acc=0.45216
T:1, train_loss:1.09259, train_acc:0.43968, val_loss=1.09194, val_acc=0.45525
T:2, train_loss:1.08270, train_acc:0.48348, val_loss=1.09002, val_acc=0.45679
T:3, train_loss:1.07955, train_acc:0.46637, val_loss=1.08734, val_acc=0.45679
T:4, train_loss:1.07703, train_acc:0.39532, val_loss=1.08107, val_acc=0.45833
T:5, train_loss:1.06329, train_acc:0.39554, val_loss=1.07265, val_acc=0.46296
T:6, train_loss:1.05762, train_acc:0.38991, val_loss=1.04889, val_acc=0.46451
T:7, train_loss:1.03715, train_acc:0.41354, val_loss=1.03508, val_acc=0.46605
T:8, train_loss:1.03263, train_acc:0.43210, val_loss=1.03460, val_acc=0.46605
T:9, train_loss:1.02723, train_acc:0.44833, val_loss=1.04070, val_acc=0.44907
T:10, train_loss:1.01294, train_acc:0.48165, val_loss=1.05185, val_acc=0.38889
T:11, train_loss:1.01422, train_acc:0.46725, val_loss=1.08147, val_acc=0.38117
T:12, train_loss:1.02187, train_acc:0.45925, val_loss=1.14331, val_acc=0.36111
T:13, train_loss:1.00857, train_acc:0.48297, val_loss=1.13035, val_acc=0.34877
T:14, train_loss:1.00139, train_acc:0.48437, val_loss=1.10889, val_acc=0.42130
T:15, train_loss:1.01943, train_acc:0.47024, val_loss=1.15701, val_acc=0.36265
T:16, train_loss:1.01560, train_acc:0.47697, val_loss=1.21067, val_acc=0.37037
T:17, train_loss:0.99769, train_acc:0.49456, val_loss=1.16207, val_acc=0.39660
T:18, train_loss:0.99461, train_acc:0.48816, val_loss=1.16147, val_acc=0.39198
T:19, train_loss:1.01077, train_acc:0.47579, val_loss=1.17978, val_acc=0.41358
T:20, train_loss:1.01334, train_acc:0.47279, val_loss=1.18188, val_acc=0.40432
T:21, train_loss:0.99147, train_acc:0.49675, val_loss=1.08960, val_acc=0.41667
T:22, train_loss:0.98783, train_acc:0.51219, val_loss=1.13579, val_acc=0.40741
T:23, train_loss:0.98243, train_acc:0.50560, val_loss=1.10185, val_acc=0.39815
T:24, train_loss:0.98440, train_acc:0.50388, val_loss=1.16342, val_acc=0.38735
T:25, train_loss:0.98330, train_acc:0.49503, val_loss=1.20353, val_acc=0.38272
T:26, train_loss:0.97317, train_acc:0.49871, val_loss=1.19871, val_acc=0.38117
T:27, train_loss:0.96880, train_acc:0.50591, val_loss=1.19897, val_acc=0.39506
T:28, train_loss:0.97383, train_acc:0.51172, val_loss=1.21486, val_acc=0.37037
T:29, train_loss:0.96104, train_acc:0.52283, val_loss=1.18338, val_acc=0.37809
T:30, train_loss:0.96411, train_acc:0.52063, val_loss=1.17894, val_acc=0.38426
T:31, train_loss:0.96050, train_acc:0.52350, val_loss=1.20630, val_acc=0.38889
T:32, train_loss:0.97466, train_acc:0.51821, val_loss=1.16114, val_acc=0.39506
T:33, train_loss:0.97989, train_acc:0.51946, val_loss=1.16465, val_acc=0.39969
T:34, train_loss:0.96129, train_acc:0.53571, val_loss=1.16515, val_acc=0.39043
T:35, train_loss:0.96710, train_acc:0.53037, val_loss=1.18167, val_acc=0.39815
T:36, train_loss:0.96051, train_acc:0.54600, val_loss=1.16535, val_acc=0.40278
T:37, train_loss:0.96005, train_acc:0.54320, val_loss=1.18042, val_acc=0.40741
T:38, train_loss:0.95069, train_acc:0.55219, val_loss=1.17682, val_acc=0.39352
T:39, train_loss:0.95398, train_acc:0.54779, val_loss=1.23639, val_acc=0.40123
