Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.07929, train_acc:0.43333, val_loss=1.12811, val_acc=0.27469
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.10935, train_acc:0.34603, val_loss=1.12912, val_acc=0.27006
T:2, train_loss:1.09743, train_acc:0.30531, val_loss=1.12827, val_acc=0.26852
T:3, train_loss:1.08546, train_acc:0.39181, val_loss=1.12570, val_acc=0.27006
T:4, train_loss:1.04741, train_acc:0.47427, val_loss=1.10252, val_acc=0.41358
T:5, train_loss:1.06235, train_acc:0.43590, val_loss=1.10966, val_acc=0.39198
T:6, train_loss:1.07063, train_acc:0.40944, val_loss=1.07623, val_acc=0.41975
T:7, train_loss:1.04639, train_acc:0.42500, val_loss=1.08922, val_acc=0.37037
T:8, train_loss:1.02250, train_acc:0.45864, val_loss=1.07258, val_acc=0.38735
T:9, train_loss:1.01057, train_acc:0.46667, val_loss=1.14482, val_acc=0.34414
T:10, train_loss:1.01879, train_acc:0.45307, val_loss=1.17286, val_acc=0.34414
T:11, train_loss:1.02527, train_acc:0.44806, val_loss=1.21947, val_acc=0.34259
T:12, train_loss:1.02597, train_acc:0.44882, val_loss=1.15106, val_acc=0.34877
T:13, train_loss:1.02711, train_acc:0.45838, val_loss=1.13661, val_acc=0.32562
T:14, train_loss:1.04178, train_acc:0.45041, val_loss=1.11118, val_acc=0.43673
T:15, train_loss:1.05829, train_acc:0.42543, val_loss=1.11088, val_acc=0.41204
T:16, train_loss:1.05181, train_acc:0.45363, val_loss=1.10212, val_acc=0.43519
T:17, train_loss:1.06013, train_acc:0.44768, val_loss=1.16256, val_acc=0.46605
T:18, train_loss:1.05274, train_acc:0.43762, val_loss=1.06060, val_acc=0.40278
T:19, train_loss:1.04484, train_acc:0.45635, val_loss=1.21323, val_acc=0.43210
T:20, train_loss:1.06298, train_acc:0.44759, val_loss=1.22184, val_acc=0.43981
T:21, train_loss:1.04055, train_acc:0.45635, val_loss=1.05149, val_acc=0.41049
T:22, train_loss:1.04238, train_acc:0.45950, val_loss=1.05655, val_acc=0.44907
T:23, train_loss:1.04004, train_acc:0.46910, val_loss=1.10296, val_acc=0.45988
T:24, train_loss:1.04839, train_acc:0.45902, val_loss=1.36135, val_acc=0.45216
T:25, train_loss:1.04463, train_acc:0.46442, val_loss=1.13978, val_acc=0.39506
T:26, train_loss:1.03297, train_acc:0.46588, val_loss=1.57608, val_acc=0.45370
T:27, train_loss:1.04252, train_acc:0.47158, val_loss=1.86328, val_acc=0.44290
T:28, train_loss:1.04382, train_acc:0.45166, val_loss=1.07858, val_acc=0.34568
T:29, train_loss:1.03894, train_acc:0.46632, val_loss=1.06591, val_acc=0.43210
T:30, train_loss:1.06250, train_acc:0.45720, val_loss=2.52955, val_acc=0.45370
T:31, train_loss:1.05667, train_acc:0.43451, val_loss=1.10588, val_acc=0.46759
T:32, train_loss:1.03776, train_acc:0.45987, val_loss=1.46158, val_acc=0.44290
