Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.15747, train_acc:0.12593, val_loss=1.13276, val_acc=0.27315
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning: 
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.13856, train_acc:0.22698, val_loss=1.13104, val_acc=0.27469
T:2, train_loss:1.12501, train_acc:0.23724, val_loss=1.12598, val_acc=0.27469
T:3, train_loss:1.07790, train_acc:0.32456, val_loss=1.11623, val_acc=0.27315
T:4, train_loss:1.02085, train_acc:0.47485, val_loss=1.08940, val_acc=0.40586
T:5, train_loss:1.06912, train_acc:0.49763, val_loss=1.20053, val_acc=0.38272
T:6, train_loss:1.07457, train_acc:0.40578, val_loss=1.31757, val_acc=0.40278
T:7, train_loss:1.02769, train_acc:0.42674, val_loss=1.27342, val_acc=0.35494
T:8, train_loss:1.00313, train_acc:0.45401, val_loss=1.47397, val_acc=0.37346
T:9, train_loss:1.01739, train_acc:0.46306, val_loss=1.80112, val_acc=0.37500
T:10, train_loss:1.00944, train_acc:0.47179, val_loss=2.04496, val_acc=0.39660
T:11, train_loss:1.01984, train_acc:0.46251, val_loss=3.09237, val_acc=0.43056
T:12, train_loss:1.02512, train_acc:0.46863, val_loss=3.64940, val_acc=0.43364
T:13, train_loss:1.04759, train_acc:0.45838, val_loss=4.55166, val_acc=0.42438
T:14, train_loss:1.03699, train_acc:0.46161, val_loss=5.23958, val_acc=0.42438
T:15, train_loss:1.05384, train_acc:0.44196, val_loss=4.89081, val_acc=0.43827
T:16, train_loss:1.04795, train_acc:0.45612, val_loss=3.19102, val_acc=0.39352
T:17, train_loss:1.04582, train_acc:0.45576, val_loss=2.49254, val_acc=0.41512
T:18, train_loss:1.03686, train_acc:0.46032, val_loss=2.04049, val_acc=0.42747
T:19, train_loss:1.04089, train_acc:0.45608, val_loss=1.07590, val_acc=0.43673
T:20, train_loss:1.05735, train_acc:0.44041, val_loss=2.43202, val_acc=0.46605
T:21, train_loss:1.03572, train_acc:0.45899, val_loss=2.32676, val_acc=0.46296
T:22, train_loss:1.04550, train_acc:0.46366, val_loss=2.07788, val_acc=0.46142
T:23, train_loss:1.03647, train_acc:0.46867, val_loss=2.18525, val_acc=0.43673
T:24, train_loss:1.05039, train_acc:0.45788, val_loss=2.80265, val_acc=0.45525
T:25, train_loss:1.03609, train_acc:0.46283, val_loss=2.31758, val_acc=0.43364
T:26, train_loss:1.04061, train_acc:0.45449, val_loss=2.75975, val_acc=0.44290
T:27, train_loss:1.02798, train_acc:0.47065, val_loss=2.13351, val_acc=0.45062
T:28, train_loss:1.03317, train_acc:0.46547, val_loss=1.39568, val_acc=0.45062
T:29, train_loss:1.02853, train_acc:0.46391, val_loss=1.42067, val_acc=0.42593
T:30, train_loss:1.03093, train_acc:0.45045, val_loss=1.70129, val_acc=0.45833
T:31, train_loss:1.03082, train_acc:0.45761, val_loss=2.01604, val_acc=0.44444
T:32, train_loss:1.03357, train_acc:0.45697, val_loss=1.79614, val_acc=0.44136
