Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.08000, train_acc:0.43704, val_loss=1.08634, val_acc=0.45216
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.08000, train_acc:0.42222, val_loss=1.08296, val_acc=0.45525
T:2, train_loss:1.02269, train_acc:0.47848, val_loss=1.07192, val_acc=0.45679
T:3, train_loss:1.00950, train_acc:0.45541, val_loss=1.06338, val_acc=0.45679
T:4, train_loss:0.97385, train_acc:0.43860, val_loss=1.09506, val_acc=0.45833
T:5, train_loss:1.02997, train_acc:0.45394, val_loss=1.24869, val_acc=0.39506
T:6, train_loss:1.05295, train_acc:0.42165, val_loss=1.36614, val_acc=0.41821
T:7, train_loss:1.01358, train_acc:0.45174, val_loss=1.41921, val_acc=0.40432
T:8, train_loss:1.00752, train_acc:0.45093, val_loss=1.55575, val_acc=0.40741
T:9, train_loss:1.02573, train_acc:0.46083, val_loss=1.78357, val_acc=0.39506
T:10, train_loss:1.00173, train_acc:0.47598, val_loss=1.75551, val_acc=0.39660
T:11, train_loss:1.03070, train_acc:0.44648, val_loss=2.26546, val_acc=0.38117
T:12, train_loss:1.04214, train_acc:0.45508, val_loss=2.54259, val_acc=0.38735
T:13, train_loss:1.03615, train_acc:0.45935, val_loss=2.30868, val_acc=0.41049
T:14, train_loss:1.03007, train_acc:0.47335, val_loss=2.67705, val_acc=0.41821
T:15, train_loss:1.07285, train_acc:0.43849, val_loss=3.41753, val_acc=0.43673
T:16, train_loss:1.04490, train_acc:0.45503, val_loss=2.29416, val_acc=0.44444
T:17, train_loss:1.05885, train_acc:0.45811, val_loss=2.00463, val_acc=0.44290
T:18, train_loss:1.03554, train_acc:0.46171, val_loss=2.22333, val_acc=0.43364
T:19, train_loss:1.06298, train_acc:0.44352, val_loss=2.48068, val_acc=0.45988
T:20, train_loss:1.06917, train_acc:0.44054, val_loss=1.55679, val_acc=0.42284
T:21, train_loss:1.04733, train_acc:0.44625, val_loss=1.40095, val_acc=0.39815
T:22, train_loss:1.03948, train_acc:0.46321, val_loss=1.54528, val_acc=0.44907
T:23, train_loss:1.04228, train_acc:0.45220, val_loss=2.37917, val_acc=0.45370
T:24, train_loss:1.07518, train_acc:0.39566, val_loss=2.40886, val_acc=0.39043
T:25, train_loss:1.04359, train_acc:0.45558, val_loss=1.87898, val_acc=0.42747
T:26, train_loss:1.05017, train_acc:0.42521, val_loss=2.18942, val_acc=0.37346
T:27, train_loss:1.02865, train_acc:0.46549, val_loss=2.57247, val_acc=0.43981
T:28, train_loss:1.02814, train_acc:0.47385, val_loss=1.87253, val_acc=0.45679
T:29, train_loss:1.04117, train_acc:0.44419, val_loss=2.57133, val_acc=0.44444
T:30, train_loss:1.07976, train_acc:0.38243, val_loss=2.17910, val_acc=0.35340
T:31, train_loss:1.07894, train_acc:0.41384, val_loss=1.18054, val_acc=0.44444
T:32, train_loss:1.05728, train_acc:0.42597, val_loss=1.23611, val_acc=0.44599
