Total train data points: 3040, Won: 45.526315789473685%, Lost: 29.04605263157895%, Draw: 25.42763157894737%
Total val data points: 380, Won: 47.63157894736842%, Lost: 33.68421052631579%, Draw: 18.68421052631579%
Total test data points: 380, Won: 45.26315789473684%, Lost: 30.526315789473685%, Draw: 24.210526315789473%
GNN model, data {} 0
Continuous evaluation
3420
T:0, train_loss:1.04737, train_acc:0.45185, val_loss=1.07962, val_acc=0.45216
C:\Users\Amin\anaconda3\lib\site-packages\pandas\core\frame.py:3636: SettingWithCopyWarning:
A value is trying to be set on a copy of a slice from a DataFrame.
Try using .loc[row_indexer,col_indexer] = value instead

See the caveats in the documentation: https://pandas.pydata.org/pandas-docs/stable/user_guide/indexing.html#returning-a-view-versus-a-copy
  self[k1] = value[k2]
T:1, train_loss:1.07173, train_acc:0.42857, val_loss=1.07941, val_acc=0.45525
T:2, train_loss:1.05875, train_acc:0.50751, val_loss=1.08769, val_acc=0.42901
T:3, train_loss:1.03854, train_acc:0.51023, val_loss=1.08925, val_acc=0.39660
T:4, train_loss:0.99147, train_acc:0.52573, val_loss=1.08609, val_acc=0.39969
T:5, train_loss:1.04376, train_acc:0.48148, val_loss=1.11748, val_acc=0.36883
T:6, train_loss:1.06407, train_acc:0.41799, val_loss=1.08323, val_acc=0.40432
T:7, train_loss:1.03080, train_acc:0.44861, val_loss=1.05609, val_acc=0.45833
T:8, train_loss:1.00117, train_acc:0.45895, val_loss=1.07935, val_acc=0.40895
T:9, train_loss:1.01673, train_acc:0.45056, val_loss=1.22086, val_acc=0.34877
T:10, train_loss:1.01743, train_acc:0.44469, val_loss=1.26968, val_acc=0.36574
T:11, train_loss:1.02019, train_acc:0.45845, val_loss=1.35483, val_acc=0.36420
T:12, train_loss:1.04595, train_acc:0.44299, val_loss=1.65732, val_acc=0.38117
T:13, train_loss:1.02847, train_acc:0.47038, val_loss=1.62087, val_acc=0.40741
T:14, train_loss:1.02921, train_acc:0.46396, val_loss=2.19401, val_acc=0.43827
T:15, train_loss:1.03760, train_acc:0.46214, val_loss=2.36013, val_acc=0.42438
T:16, train_loss:1.02739, train_acc:0.48350, val_loss=2.39138, val_acc=0.45833
T:17, train_loss:1.02982, train_acc:0.46135, val_loss=2.72323, val_acc=0.44907
T:18, train_loss:1.03907, train_acc:0.46575, val_loss=1.20499, val_acc=0.46142
T:19, train_loss:1.03467, train_acc:0.45966, val_loss=3.03455, val_acc=0.45988
T:20, train_loss:1.03823, train_acc:0.46737, val_loss=2.07901, val_acc=0.45988
T:21, train_loss:1.02956, train_acc:0.47451, val_loss=3.44380, val_acc=0.48457
T:22, train_loss:1.04104, train_acc:0.46826, val_loss=2.91405, val_acc=0.46142
T:23, train_loss:1.03015, train_acc:0.47944, val_loss=1.98322, val_acc=0.44907
T:24, train_loss:1.04551, train_acc:0.46698, val_loss=4.46011, val_acc=0.45988
T:25, train_loss:1.03549, train_acc:0.46770, val_loss=3.43252, val_acc=0.43364
T:26, train_loss:1.02824, train_acc:0.46665, val_loss=3.42053, val_acc=0.43981
T:27, train_loss:1.02033, train_acc:0.48588, val_loss=3.81123, val_acc=0.44753
T:28, train_loss:1.03724, train_acc:0.48543, val_loss=4.84788, val_acc=0.46296
T:29, train_loss:1.03032, train_acc:0.45969, val_loss=1.85322, val_acc=0.44290
T:30, train_loss:1.04027, train_acc:0.44803, val_loss=4.03230, val_acc=0.44444
T:31, train_loss:1.03239, train_acc:0.46132, val_loss=3.59289, val_acc=0.48920
T:32, train_loss:1.04139, train_acc:0.45180, val_loss=4.33178, val_acc=0.46605
