T:1, train_loss:1.11395, train_acc:0.22381, val_loss=1.11167, val_acc=0.27469
T:2, train_loss:1.10129, train_acc:0.28028, val_loss=1.10751, val_acc=0.27469
T:3, train_loss:1.04770, train_acc:0.45395, val_loss=1.09872, val_acc=0.33951
T:4, train_loss:1.03390, train_acc:0.41637, val_loss=1.07124, val_acc=0.43673
T:5, train_loss:1.05423, train_acc:0.41690, val_loss=1.17020, val_acc=0.40586
T:6, train_loss:1.05974, train_acc:0.35083, val_loss=1.18300, val_acc=0.40895
T:7, train_loss:1.03738, train_acc:0.39132, val_loss=1.21430, val_acc=0.40895
T:8, train_loss:1.01745, train_acc:0.40648, val_loss=1.46405, val_acc=0.45988
T:9, train_loss:1.02656, train_acc:0.41389, val_loss=1.53909, val_acc=0.47377
T:10, train_loss:1.02026, train_acc:0.44272, val_loss=2.33227, val_acc=0.47377
T:11, train_loss:1.02198, train_acc:0.42796, val_loss=2.87748, val_acc=0.46451
T:12, train_loss:1.03547, train_acc:0.42985, val_loss=2.79811, val_acc=0.46914
T:13, train_loss:1.04818, train_acc:0.42354, val_loss=3.82171, val_acc=0.48457
T:14, train_loss:1.04007, train_acc:0.46775, val_loss=3.65098, val_acc=0.43673
T:15, train_loss:1.05494, train_acc:0.45635, val_loss=3.44739, val_acc=0.43364
T:16, train_loss:1.05676, train_acc:0.46794, val_loss=3.14922, val_acc=0.42284
T:17, train_loss:1.04962, train_acc:0.46429, val_loss=2.44348, val_acc=0.43981
T:18, train_loss:1.05483, train_acc:0.45934, val_loss=1.91856, val_acc=0.42130
T:19, train_loss:1.04791, train_acc:0.46270, val_loss=2.12696, val_acc=0.40432
T:20, train_loss:1.05179, train_acc:0.45944, val_loss=2.29090, val_acc=0.41975
T:21, train_loss:1.03829, train_acc:0.46946, val_loss=1.71792, val_acc=0.45062
T:22, train_loss:1.03697, train_acc:0.47163, val_loss=2.54719, val_acc=0.45679
T:23, train_loss:1.05794, train_acc:0.46404, val_loss=2.80902, val_acc=0.44290
T:24, train_loss:1.04904, train_acc:0.45075, val_loss=1.28487, val_acc=0.44599
T:25, train_loss:1.03795, train_acc:0.46512, val_loss=2.41347, val_acc=0.43056
T:26, train_loss:1.04185, train_acc:0.44751, val_loss=3.10716, val_acc=0.42747
T:27, train_loss:1.03955, train_acc:0.46622, val_loss=3.12141, val_acc=0.46296
T:28, train_loss:1.03733, train_acc:0.46298, val_loss=2.67682, val_acc=0.43364
T:29, train_loss:1.04795, train_acc:0.44332, val_loss=2.57768, val_acc=0.44290
T:30, train_loss:1.04179, train_acc:0.44519, val_loss=2.58787, val_acc=0.45988
T:31, train_loss:1.05942, train_acc:0.42975, val_loss=3.61935, val_acc=0.45833
T:32, train_loss:1.04348, train_acc:0.44147, val_loss=3.33187, val_acc=0.45679
T:33, train_loss:1.08861, train_acc:0.41006, val_loss=5.85523, val_acc=0.46759
T:34, train_loss:1.07632, train_acc:0.42670, val_loss=3.20118, val_acc=0.46142
T:35, train_loss:1.05431, train_acc:0.42908, val_loss=1.10147, val_acc=0.45370
T:36, train_loss:1.04802, train_acc:0.43318, val_loss=1.06595, val_acc=0.45370
T:37, train_loss:1.05673, train_acc:0.44385, val_loss=1.05717, val_acc=0.44599
T:38, train_loss:1.04891, train_acc:0.43026, val_loss=1.13449, val_acc=0.44290
T:39, train_loss:1.03883, train_acc:0.44141, val_loss=1.11512, val_acc=0.44136
T:40, train_loss:1.05825, train_acc:0.45134, val_loss=1.06697, val_acc=0.43827
T:41, train_loss:1.04777, train_acc:0.44586, val_loss=1.06553, val_acc=0.44136
T:42, train_loss:1.05642, train_acc:0.42979, val_loss=1.45148, val_acc=0.43364
T:43, train_loss:1.05701, train_acc:0.44642, val_loss=1.09310, val_acc=0.44136
T:44, train_loss:1.04889, train_acc:0.44746, val_loss=1.07610, val_acc=0.44290
T:45, train_loss:1.04766, train_acc:0.45861, val_loss=1.03374, val_acc=0.44599
T:46, train_loss:1.04623, train_acc:0.46736, val_loss=1.03402, val_acc=0.44444
T:47, train_loss:1.04215, train_acc:0.47789, val_loss=1.03608, val_acc=0.44753
T:48, train_loss:1.03530, train_acc:0.48121, val_loss=1.03358, val_acc=0.44290
T:49, train_loss:1.03447, train_acc:0.48401, val_loss=1.03260, val_acc=0.44136
T:50, train_loss:1.03664, train_acc:0.47546, val_loss=1.03722, val_acc=0.50617
T:51, train_loss:1.04117, train_acc:0.46865, val_loss=1.03336, val_acc=0.45833
T:52, train_loss:1.04249, train_acc:0.46510, val_loss=1.04496, val_acc=0.44599
T:53, train_loss:1.03709, train_acc:0.46558, val_loss=1.03904, val_acc=0.45216
T:54, train_loss:1.03641, train_acc:0.46685, val_loss=1.03922, val_acc=0.44444
T:55, train_loss:1.03076, train_acc:0.46938, val_loss=1.03854, val_acc=0.45679
